segs,recived,sent,recived_dt,sent_dt
0.047,0,0,0,0
3.622,185,129,185,129
9.628,2687,5397,2502,5268
15.665,12547430,28415183,12544743,28409786
21.675,25235553,56964158,12688123,28548975
27.667,37921778,85510550,12686225,28546392
33.648,63290075,142590529,25368297,57079979
39.68,75972405,171124962,12682330,28534433
45.659,101334561,228188752,25362156,57063790
51.615,123520694,266222714,22186133,38033962
57.636,136199030,294751014,12678336,28528300
63.644,139369692,313770570,3170662,19019556
69.655,164722646,370814813,25352954,57044243
75.606,177398933,399337869,12676287,28523056
81.662,199581072,437365447,22182139,38027578
87.627,212256614,465885743,12675542,28520296
93.654,215426039,484897877,3169425,19012134
99.652,228100974,513415676,12674935,28517799
105.648,240775592,541935428,12674618,28519752
111.659,262969055,579956895,22193463,38021467
117.629,275628542,608473881,12659487,28516986
123.606,291471650,656000953,15843108,47527072
129.655,304144469,684513486,12672819,28512533
135.687,316817671,713029717,12673202,28516231
141.677,329490205,741542685,12672534,28512968
147.662,342162815,770056294,12672610,28513609
153.621,354835601,798572174,12672786,28515880
159.614,367507720,827084847,12672119,28512673
165.613,380179189,855595280,12671469,28510433
171.608,392850180,884105585,12670991,28510305
177.613,415023548,922117572,22173368,38011987
183.667,427693747,950624170,12670199,28506598
189.662,440364129,979133036,12670382,28508866
195.676,453034184,1007641200,12670055,28508164
201.624,468872689,1055153625,15838505,47512425
207.629,475221413,1061489759,6348724,6336134
213.622,481542666,1083662242,6321253,22172483
219.638,506881846,1140676272,25339180,57014030
225.681,522718880,1172351186,15837034,31674914
231.628,544889849,1226195160,22170969,53843974
237.633,567059518,1264202369,22169669,38007209
243.701,582896319,1311713025,15836801,47510656
249.659,595564373,1340217034,12668054,28504009
255.653,608232806,1368720897,12668433,28503863
261.68,620900855,1397222431,12668049,28501534
267.67,630414801,1406721972,9513946,9499541
