round,deltaT,mean_accuracy,n_selected
1,5095.0,0.6162696704268456,3
2,5092.0,0.5557609548171362,3
3,5091.0,0.6556134968996048,3
4,5090.0,0.6761456156770388,3
5,5126.0,0.7788848082224528,3
6,5125.0,0.743767241636912,3
7,5125.0,0.7403293450673422,3
8,5087.0,0.8405409355958303,3
9,5091.0,0.7740688969691595,3
10,5090.0,0.7837188889582952,3
11,5090.0,0.7702737947305044,3
12,5090.0,0.7955052753289541,3
13,5092.0,0.835713118314743,3
14,5090.0,0.8139562010765076,3
15,5090.0,0.879209041595459,3
16,5090.0,0.8101858596007029,3
17,5090.0,0.8451228042443594,3
18,5092.0,0.8376010954380035,3
19,5090.0,0.8661140104134878,3
20,5090.0,0.8733904163042704,3
21,5090.0,0.9040778776009878,3
22,5091.0,0.8954750001430511,3
23,5089.0,0.9169883728027344,3
24,5090.0,0.8969483971595764,3
25,5090.0,0.8710614542166392,3
26,5090.0,0.8877016504605612,3
27,5091.0,0.8855180144309998,3
28,5126.0,0.873277485370636,3
29,5091.0,0.9492087960243225,3
30,5089.0,0.9327328900496165,3
31,5092.0,0.9192345837752024,3
32,5091.0,0.9437187016010284,3
33,5090.0,0.9108676910400391,3
34,5091.0,0.9246065020561218,3
35,5092.0,0.9365740716457367,3
36,5090.0,0.9331885576248169,3
37,5091.0,0.9345783491929373,3
38,5090.0,0.9502187967300415,3
39,5092.0,0.9506845275561014,3
40,5090.0,0.940279354651769,3
41,5088.0,0.938013086716334,3
42,5090.0,0.9568081001440684,3
43,5117.0,0.9430576066176096,3
44,5089.0,0.9427768588066101,3
45,5126.0,0.9182684123516083,3
46,5091.0,0.9554048180580139,3
47,5114.0,0.9574496746063232,3
48,5091.0,0.9620382388432821,3
49,5126.0,0.9587333500385284,3
50,5091.0,0.9441978335380554,3
