round,deltaT,mean_accuracy,n_selected
1,7101.0,0.5449738055467606,3
2,4119.0,0.5294670984148979,3
3,4124.0,0.6470838040113449,3
4,3092.0,0.6750563283761343,3
5,7094.0,0.7483783264954885,3
6,7096.0,0.789651503165563,3
7,3093.0,0.7653706967830658,3
8,5113.0,0.8021985193093618,3
9,6132.0,0.7318859746058782,3
10,6093.0,0.7941886881987253,3
11,3092.0,0.8112092316150665,3
12,4091.0,0.8030376136302948,3
13,3092.0,0.8322845200697581,3
14,3091.0,0.7969141403834025,3
15,4130.0,0.7911749929189682,3
16,3123.0,0.8057010968526205,3
17,3110.0,0.8561839063962301,3
18,3098.0,0.9090925852457682,3
19,3127.0,0.8845479289690653,3
20,3121.0,0.878690759340922,3
21,4130.0,0.8902893861134847,3
22,4128.0,0.8724176486333212,3
23,3127.0,0.8852425515651703,3
24,4091.9999999999995,0.8916842738787333,3
25,4114.0,0.9027921458085378,3
26,4130.0,0.9278185466925303,3
27,7097.0,0.929648776849111,3
28,4091.0,0.8962945640087128,3
29,4091.9999999999995,0.8965126971403757,3
30,4120.0,0.9195054670174917,3
31,5134.0,0.9001592397689819,3
32,4128.0,0.9305953284104665,3
33,3093.0,0.9060772160689036,3
34,3088.0,0.9141962627569834,3
35,6094.0,0.9220285614331564,3
36,3089.0,0.916931559642156,3
37,6097.0,0.8962986171245575,3
38,3127.0,0.9157824118932089,3
39,3092.0,0.9640284180641174,3
40,3091.0,0.9490844706694285,3
41,3092.0,0.9357503453890482,3
42,3090.0,0.9192187090714773,3
43,7101.0,0.937127947807312,3
44,3091.0,0.9498249491055807,3
45,3095.0,0.9348771174748739,3
46,5093.0,0.9651846786340078,3
47,3125.0,0.9511879285176595,3
48,7125.0,0.9397530059019724,3
49,3125.0,0.9572601815064748,3
50,3090.0,0.9425253570079803,3
