round,deltaT,mean_accuracy,n_selected
1,3116.0,0.5294827340791622,3
2,3094.0,0.5390182435512543,3
3,3093.0,0.6116024653116862,3
4,3090.0,0.6428872247536978,3
5,2087.0,0.6845458348592123,3
6,2101.0,0.749693031112353,3
7,3095.0,0.7009596278270086,3
8,3091.0,0.6844108055035273,3
9,3093.0,0.7057622745633125,3
10,3103.0,0.7637701431910197,3
11,3097.0,0.7302069117625555,3
12,3091.0,0.8706287841002146,3
13,3092.0,0.8358620007832845,3
14,3119.0,0.826413631439209,3
15,3104.0,0.8263157705465952,3
16,3119.0,0.8778040409088135,3
17,3090.0,0.8113295237223307,3
18,3092.0,0.8221803804238638,3
19,3128.0,0.8484625866015753,3
20,3124.0,0.832320362329483,3
21,3093.0,0.774411474665006,3
22,3089.0,0.8798676331837972,3
23,3093.0,0.8706198036670685,3
24,3104.0,0.8546498318513235,3
25,3106.0,0.8955093423525492,3
26,3096.0,0.8789482315381368,3
27,3106.0,0.8820370038350424,3
28,3093.0,0.9092345535755157,3
29,3092.0,0.9238171676794688,3
30,2088.0,0.8985694150129954,3
31,3124.0,0.926837682723999,3
32,3122.0,0.8826240301132202,3
33,2086.0,0.8879529138406118,3
34,3094.0,0.9540581603844961,3
35,3118.0,0.9340355495611826,3
36,3093.0,0.9247115552425385,3
37,2089.0,0.9477632542451223,3
38,3094.0,0.9314932525157928,3
39,3151.0,0.9357942938804626,3
40,3092.0,0.9624438981215159,3
41,3097.0,0.9488368928432465,3
42,3095.0,0.9316980143388113,3
43,3092.0,0.9342000087102255,3
44,3097.0,0.9337970515092214,3
45,3127.0,0.960387796163559,3
46,3133.0,0.9511450926462809,3
47,3159.0,0.9332132836182913,3
48,3124.0,0.9267024099826813,3
49,3093.0,0.9668267071247101,3
50,3125.0,0.9518379867076874,3
