segs,recived,sent,recived_dt,sent_dt
0.005,0,0,0,0
3.22,223,105,223,105
9.22,263368,5375,263145,5270
15.197,2478808,5441,2215440,66
21.193,4629088,5508,2150280,67
27.188,6779368,5575,2150280,67
33.183,8929648,5642,2150280,67
39.195,12538760,23119868,3609112,23114226
45.213,12538760,27419039,3609112,4299171
51.229,12538760,28395012,3609112,975973
57.186,12538760,28395046,3609112,34
63.182,12540026,28398161,1266,3115
69.223,14632386,28398233,2092360,72
75.217,16782666,28398305,2150280,72
81.215,18932946,28398377,2150280,72
87.21,21083226,28398449,2150280,72
93.271,25219465,52264886,4136239,23866437
99.206,25219465,56928002,4136239,4663116
105.262,25219465,56928036,4136239,34
111.22,25219465,56928070,4136239,34
117.19,25220365,56929004,900,934
123.258,26958334,56931260,1737969,2256
129.254,29108614,56931332,2150280,72
135.249,31258894,56931404,2150280,72
141.245,33409174,56931476,2150280,72
147.228,37898555,80796991,4489381,23865515
153.171,37898555,85455931,4489381,4658940
159.23,37898555,85455965,4489381,34
165.198,37898555,85455999,4489381,34
171.181,37898555,85456033,4489381,34
177.198,39246455,85459142,1347900,3109
183.207,41396741,85459220,2150286,78
189.189,43547021,85459292,2150280,72
195.185,45697301,85459364,2150280,72
201.17,50576290,109454077,4878989,23994713
207.227,50576290,109454150,4878989,73
213.205,50576290,113981353,4878989,4527203
219.186,50576290,113981388,4878989,35
225.265,50576290,113981423,4878989,35
231.176,51473799,113984470,897509,3047
237.171,53683447,113984543,2209648,73
243.171,55833733,113984622,2150286,79
249.211,58049173,113984695,2215440,73
255.207,60083696,120322245,2034523,6337550
261.255,63252188,137913124,3168492,17590879
267.213,63252188,142502069,3168492,4588945
273.196,63252188,142502104,3168492,35
279.184,63252188,142502139,3168492,35
285.17,63731286,142505247,479098,3108
291.19,65997406,142505320,2266120,73
297.185,68147686,142505393,2150280,73
303.179,70297970,142505470,2150284,77
309.176,72448252,142505545,2150282,75
315.23,75927884,166433201,3479632,23927656
321.193,75927884,171024768,3479632,4591567
327.176,75927884,171024803,3479632,35
333.258,75927884,171024838,3479632,35
339.2,75953757,171027945,25873,3107
345.197,78151821,171028018,2198064,73
351.191,80302101,171028091,2150280,73
357.186,82452381,171028164,2150280,73
363.182,84602665,171028241,2150284,77
369.27,88602928,195151396,4000263,24123155
375.245,88602928,199543475,4000263,4392079
381.222,88602928,199543510,4000263,35
387.205,88602928,199543545,4000263,35
393.169,88603823,199544475,895,930
399.228,90341786,199546726,1737963,2251
405.225,92492066,199546799,2150280,73
411.222,94642346,199546872,2150280,73
417.216,96792626,199546945,2150280,73
423.24,101276613,223734022,4483987,24187077
429.201,101276615,228060236,2,4326214
435.182,101276615,228060310,2,74
441.267,101276615,228060345,2,35
447.249,101276615,228060380,2,35
453.257,102624512,228063487,1347897,3107
459.254,104774792,228063561,2150280,74
