round,deltaT,mean_accuracy,n_selected
1,7140.0,0.6163536558548609,3
2,3102.0,0.5370953306555748,3
3,7094.0,0.660074420273304,3
4,5095.0,0.7572103391091028,3
5,3091.0,0.7705147912104925,3
6,3125.0,0.7502600525816282,3
7,6095.0,0.8045960068702698,3
8,3093.0,0.7559994757175446,3
9,3093.0,0.7637488742669424,3
10,5091.0,0.8075593908627828,3
11,6093.0,0.8692846198876699,3
12,6126.0,0.8798141479492188,3
13,3091.0,0.8047594229380289,3
14,6151.0,0.8556780765453974,3
15,5125.0,0.9031460682551066,3
16,3091.0,0.8878930906454722,3
17,6129.0,0.897459069887797,3
18,6093.0,0.8780400355656942,3
19,7098.0,0.900680402914683,3
20,5130.0,0.8773359954357147,3
21,5094.0,0.9134674568970998,3
22,6104.0,0.9150379002094269,3
23,3092.0,0.9131195942560831,3
24,7096.0,0.8910739918549856,3
25,6129.0,0.8769087990125021,3
26,7117.0,0.9091466764609019,3
27,6093.0,0.8836460908253988,3
28,5126.0,0.9463682472705841,3
29,6095.0,0.9378186762332916,3
30,5094.0,0.9117427468299866,3
31,4091.9999999999995,0.925150473912557,3
32,6094.0,0.9425946970780691,3
33,4093.0,0.937378724416097,3
34,6094.0,0.9329629143079122,3
35,6144.0,0.9216180443763733,3
36,6094.0,0.9360760450363159,3
37,5095.0,0.9456346233685812,3
38,7098.0,0.9619672497113546,3
39,6130.0,0.943742424249649,3
40,3092.0,0.9653099079926809,3
41,3092.0,0.952156682809194,3
42,7096.0,0.9390195409456888,3
43,3124.0,0.9522190690040588,3
44,3118.0,0.9456727306048075,3
45,4103.0,0.9276950160662333,3
46,4091.0,0.9460877279440562,3
47,5096.0,0.9662739336490631,3
48,7097.0,0.964952697356542,3
49,6127.0,0.9503394464651743,3
50,7095.0,0.9667363067468008,3
