round,deltaT,mean_accuracy,n_selected
1,7097.0,0.5930474599202474,3
2,7088.0,0.5379581054051717,3
3,8128.0,0.6393981774648031,3
4,8090.999999999999,0.6295562436183294,3
5,7092.0,0.6497843265533447,3
6,7128.0,0.7614851544300715,3
7,8093.999999999999,0.7587920178969702,3
8,8093.0,0.7349528123935064,3
9,8093.999999999999,0.7151582166552544,3
10,8128.0,0.7365323305130005,3
11,7093.0,0.7439347803592682,3
12,8093.0,0.8085129757722219,3
13,8093.999999999999,0.8062934329112371,3
14,8093.0,0.8261650502681732,3
15,8093.0,0.7795697251955668,3
16,7094.0,0.8647929231325785,3
17,7092.0,0.8234662115573883,3
18,8093.0,0.7963400185108185,3
19,7093.0,0.8835384448369344,3
20,7093.0,0.8532004058361053,3
21,8093.0,0.9070238371690115,3
22,8093.0,0.8475253184636434,3
23,8093.999999999999,0.862648586432139,3
24,8093.999999999999,0.9251559376716614,3
25,7128.0,0.8939304947853088,3
26,7092.0,0.8845940430959066,3
27,7130.0,0.9185863633950552,3
28,8093.0,0.8974198500315348,3
29,8090.999999999999,0.900729258855184,3
30,7094.0,0.9340343574682871,3
31,7094.0,0.930078367392222,3
32,8093.0,0.924051304658254,3
33,8093.0,0.9006523489952087,3
34,8093.999999999999,0.931327631076177,3
35,8131.0,0.9514562090237936,3
36,8130.000000000001,0.9315842588742574,3
37,7092.0,0.9320674240589142,3
38,7093.0,0.9401876628398895,3
39,8127.000000000001,0.9468517899513245,3
40,8106.999999999999,0.9404851198196411,3
41,8093.0,0.9495607515176138,3
42,8093.0,0.9460172454516093,3
43,7093.0,0.9424223005771637,3
44,7126.0,0.9317945539951324,3
45,7092.0,0.9396756589412689,3
46,8096.0,0.9604786733786265,3
47,8092.000000000001,0.9486685693264008,3
48,8093.999999999999,0.9377007087071737,3
49,8093.999999999999,0.9427443345387777,3
50,7127.0,0.943780650695165,3
