round,deltaT,mean_accuracy
1,3096.0,0.8573726713657379
2,3123.0,0.8613128662109375
3,3092.0,0.9023386090993881
4,3094.0,0.9306862503290176
5,3091.0,0.9324790686368942
6,3127.0,0.94112329185009
7,3110.0,0.9236043393611908
8,3126.0,0.9444396048784256
9,3128.0,0.9537223726511002
10,3089.0,0.9462139904499054
11,3124.0,0.9618850648403168
12,3128.0,0.9616353511810303
13,3123.0,0.9658717811107635
14,3091.0,0.972848653793335
