segs,recived,sent,recived_dt,sent_dt
0,0,0,0,0
5,141,119,141,119
10,4562609,6718532,4562468,6718413
15,9594079,16063217,5031470,9344685
20,16063120,29000963,6469041,12937746
25,22532161,41938709,6469041,12937746
30,29001202,54876455,6469041,12937746
35,35470061,67813473,6468859,12937018
40,41939042,80750979,6468981,12937506
45,48408083,93688725,6469041,12937746
50,54877124,106626471,6469041,12937746
55,61346169,119564222,6469045,12937751
60,67815210,132501969,6469041,12937747
65,74284251,145439716,6469041,12937747
70,80753292,158377463,6469041,12937747
75,86517778,168440690,5764486,10063227
80,92972339,181378437,6454561,12937747
85,99441380,194316184,6469041,12937747
90,105191886,206535397,5750506,12219213
95,110942206,218753866,5750320,12218469
100,110942206,218753901,5750320,35
105,110942208,218753977,2,76
