round,deltaT,mean_accuracy,n_selected
1,8186.999999999999,0.5951264301935831,3
2,8122.999999999999,0.5470111692945162,3
3,8128.0,0.6057203685243925,3
4,8128.0,0.7515270287791888,3
5,8096.0,0.6905481790502866,3
6,8121.0,0.7486776411533356,3
7,7127.0,0.7507837613423666,3
8,7092.0,0.7074941595395406,3
9,7128.0,0.7103378425041834,3
10,8124.000000000001,0.832481324672699,3
11,8092.000000000001,0.7782646516958872,3
12,7128.0,0.7666789690653483,3
13,8093.999999999999,0.7840948502222697,3
14,8129.0,0.7995234727859497,3
15,7093.0,0.7705785681804022,3
16,8090.999999999999,0.8237013667821884,3
17,8093.0,0.8565228382746378,3
18,7088.0,0.8255942861239115,3
19,8121.0,0.8780596554279327,3
20,8090.999999999999,0.8654712736606598,3
21,7094.0,0.8963886400063833,3
22,8089.0,0.8546858429908752,3
23,8109.0,0.8321876525878906,3
24,7119.0,0.8472063839435577,3
25,7126.0,0.873954713344574,3
26,8124.000000000001,0.8926288485527039,3
27,7091.0,0.9111491739749908,3
28,7093.0,0.9099527398745219,3
29,7128.0,0.905557801326116,3
30,8095.000000000001,0.9314425190289816,3
31,7126.0,0.9095190068085989,3
32,8090.0,0.9316129585107168,3
33,8132.0,0.9296928644180298,3
34,8131.0,0.913793166478475,3
35,8090.999999999999,0.8877425491809845,3
36,8109.0,0.9044241706530253,3
37,7094.0,0.8872279624144236,3
38,7091.0,0.9212709069252014,3
39,8092.000000000001,0.9038125475247701,3
40,8093.0,0.9269850850105286,3
41,8122.0,0.932571530342102,3
42,7093.0,0.9402210712432861,3
43,7100.0,0.9331423044204712,3
44,8092.000000000001,0.9300612310568491,3
45,8132.0,0.9098194042841593,3
46,7089.0,0.9520169099171957,3
47,7091.0,0.9587794740994772,3
48,8125.0,0.9550725122292837,3
49,8095.000000000001,0.9332737823327383,3
50,8127.000000000001,0.9396810531616211,3
