round,deltaT,mean_accuracy,n_selected
1,6120.0,0.5392641661067804,3
2,7097.0,0.567377341290315,3
3,6097.0,0.6261830379565557,3
4,6096.0,0.7591451853513718,3
5,3092.0,0.6992900644739469,3
6,6094.0,0.6451903705795606,3
7,7098.0,0.6868124331037203,3
8,5093.0,0.6968481838703156,3
9,5092.0,0.7582132617632548,3
10,7095.0,0.7256181140740713,3
11,5094.0,0.6809257045388222,3
12,6104.0,0.7055726473530134,3
13,6095.0,0.8408436973889669,3
14,4094.0000000000005,0.6978409588336945,3
15,5131.0,0.7418000797430674,3
16,5128.0,0.8619825194279352,3
17,7112.0,0.7628550281127294,3
18,6095.0,0.8284838398297628,3
19,7096.0,0.7912803391615549,3
20,7128.0,0.8839838405450186,3
21,5091.0,0.8365236322085062,3
22,6097.0,0.8500519096851349,3
23,4129.0,0.8534533977508545,3
24,6096.0,0.8307070632775625,3
25,7109.0,0.8133122126261393,3
26,5093.0,0.7714677453041077,3
27,5094.0,0.8393521755933762,3
28,7111.0,0.9060184756914774,3
29,3091.0,0.8678433696428934,3
30,3127.0,0.9052267769972483,3
31,3097.0,0.9179190496603647,3
32,5125.0,0.9054799973964691,3
33,5131.0,0.892378052075704,3
34,5099.0,0.9050861597061157,3
35,5120.0,0.9119523564974467,3
36,4091.9999999999995,0.9229227403799692,3
37,4091.0,0.9040241241455078,3
38,7121.0,0.9391084214051565,3
39,5095.0,0.9171397487322489,3
40,5139.0,0.9387776950995127,3
41,7119.0,0.9144699374834696,3
42,7098.0,0.9450972477595011,3
43,7095.0,0.9304857949415842,3
44,6106.0,0.9303742448488871,3
45,7100.0,0.9590438107649485,3
46,7108.0,0.9454333086808523,3
47,7096.0,0.9417113065719604,3
48,5129.0,0.9703337748845419,3
